ICARDI,Inter,ATTACCANTE,37
IMMOBILE,Lazio,ATTACCANTE,35
MERTENS,Napoli,ATTACCANTE,34
HIGUAIN,Juventus,ATTACCANTE,33
DZEKO,Roma,ATTACCANTE,32
DYBALA,Juventus,ATTACCANTE,31
INSIGNE,Napoli,ATTACCANTE,29
BELOTTI,Torino,ATTACCANTE,26
QUAGLIARELLA,Sampdoria,ATTACCANTE,26
GOMEZ A,Atalanta,ATTACCANTE,26
HAMSIK,Napoli,CENTROCAMPISTA,25
CALLEJON,Napoli,ATTACCANTE,25
PERISIC,Inter,CENTROCAMPISTA,24
VERDI,Bologna,CENTROCAMPISTA,22
NAINGGOLAN,Roma,CENTROCAMPISTA,22
IAGO FALQUE,Torino,ATTACCANTE,22
SIMEONE,Fiorentina,ATTACCANTE,21
SUSO,Milan,CENTROCAMPISTA,20
KALINIC,Milan,ATTACCANTE,20
ILICIC,Atalanta,CENTROCAMPISTA,19
BERNARDESCHI,Juventus,CENTROCAMPISTA,19
PJANIC,Juventus,CENTROCAMPISTA,19
MILINKOVIC-SAVIC,Lazio,CENTROCAMPISTA,19
ZIELINSKI,Napoli,CENTROCAMPISTA,19
ZAPATA D,Sampdoria,ATTACCANTE,19
KOULIBALY,Napoli,DIFENSORE,18
CHIESA,Fiorentina,CENTROCAMPISTA,18
THEREAU,Fiorentina,ATTACCANTE,18
CANDREVA,Inter,CENTROCAMPISTA,17
DOUGLAS COSTA,Juventus,CENTROCAMPISTA,17
LJAJIC,Torino,ATTACCANTE,17
EL SHAARAWY,Roma,ATTACCANTE,17
MANDZUKIC,Juventus,ATTACCANTE,17
INGLESE,Chievo,ATTACCANTE,17
KOLAROV,Roma,DIFENSORE,16
DE VRIJ,Lazio,DIFENSORE,16
CALDARA,Atalanta,DIFENSORE,16
LUIS ALBERTO,Lazio,CENTROCAMPISTA,16
MATUIDI,Juventus,CENTROCAMPISTA,16
DE PAUL,Udinese,CENTROCAMPISTA,16
LASAGNA,Udinese,ATTACCANTE,16
ANTENUCCI,SPAL,ATTACCANTE,16
HANDANOVIC,Inter,PORTIERE,15
REINA,Napoli,PORTIERE,15
ALISSON,Roma,PORTIERE,15
BIRSA,Chievo,CENTROCAMPISTA,15
ALLAN,Napoli,CENTROCAMPISTA,15
PAZZINI,Verona,ATTACCANTE,15
FALCINELLI,Sassuolo,ATTACCANTE,15
DESTRO,Bologna,ATTACCANTE,15
PETAGNA,Atalanta,ATTACCANTE,15
SPORTIELLO,Fiorentina,PORTIERE,14
PERIN,Genoa,PORTIERE,14
